ow-hw 612.98 0.957   # TIP3P_Water 1
hw-hw 15.17 1.514   # TIP3P_Water 1
br-br 81.01 2.542   # SOURCE1 4
br-c1 227.01 1.787   # SOURCE2 4 0.0024
br-c2 168.91 1.893   # SOURCE1_SOURCE5 25 0.0078
br-c 146.48 1.946   # SOURCE2 2 0.0285
br-c3 134.73 1.978   # SOURCE1_SOURCE5 146 0.0118
br-ca 162.15 1.908   # SOURCE1_SOURCE5 462 0.0052
br-cc 172.53 1.885   # SOURCE4_SOURCE5 128 0.0078
br-cx 154.63 1.926   # SOURCE1_SOURCE5 11 0.0019
br-n1 141.51 1.860   # SOUECE3 1
br-n2 88.47 2.038   # SOURCE3 5 0.1082
br-n 136.53 1.873   # SOURCE3 4 0.0046
br-n3 110.41 1.952   # SOURCE3 2
br-n4 118.29 1.926   # SOURCE3 3 0.0013
br-na 96.95 2.002   # SOURCE3 7 0.2156
br-nh 112.77 1.944   # SOURCE3 1
br-no 75.65 2.101   # SOURCE3 1
br-o 193.58 1.800   # SOUECE3 1
br-oh 160.87 1.866   # SOURCE3 1
br-os 151.88 1.887   # SOURCE3 2
br-p2 133.12 2.210   # SOURCE3 9 0.0510
br-p3 126.80 2.231   # SOURCE3 3 0.0101
br-p4 145.88 2.171   # SOUECE3 1
br-p5 137.54 2.196   # SOURCE3 3 0.0099
br-s 169.20 2.220   # SOUECE3 1
br-s4 128.80 2.341   # SOURCE3 1
br-s6 171.57 2.214   # SOURCE3 3 0.0443
br-sh 173.58 2.209   # SOURCE3 1
br-ss 176.02 2.203   # SOURCE3 3 0.0035
c1-c1 837.28 1.198   # SOURCE1_SOURCE5 659 0.0039
c1-c2 535.85 1.307   # SOURCE1 18
c1-c3 295.86 1.467   # SOURCE1_SOURCE5 795 0.0034
c1-ca 325.62 1.440   # SOUECE3 1
c1-ce 518.69 1.315   # SOURCE4 6 0.0086
c1-cg 776.82 1.216   # SOURCE3_SOURCE5 179 0.0036
c1-ch 765.43 1.219   # SOURCE3_SOURCE5 13 0.0016
c1-cl 261.49 1.631   # SOURCE2 6 0.0050
c1-cx 320.55 1.444   # SOURCE1_SOURCE5 24 0.0043
c1-f 482.19 1.270   # SOURCE2 2 0.0085
c1-ha 433.72 1.067   # SOURCE3_SOURCE5 343 0.0013
c1-hc 448.21 1.060   # SOUECE3 1
c1-i 153.51 1.989   # SOURCE2 4 0.0032
c1-n1 891.54 1.153   # SOURCE1_SOURCE5 481 0.0035
c1-n2 736.75 1.197   # SOURCE3_SOURCE5 36 0.0076
c1-n3 400.99 1.347   # SOURCE2_SOURCE5 10 0.0093
c1-n4 309.65 1.417   # SOURCE3 3 0.0032
c1-n 428.86 1.330   # SOUECE3 1
c1-na 379.52 1.362   # SOURCE3 8 0.0034
c1-ne 720.51 1.202   # SOURCE4_SOURCE5 31 0.0124
c1-nf 720.51 1.202   # SOURCE4_SOURCE5 21 0.0141
c1-nh 409.04 1.342   # SOURCE4_SOURCE5 33 0.0061
c1-no 323.48 1.405   # SOURCE3 3 0.0005
c1-o 794.98 1.172   # SOURCE2_SOURCE5 31 0.0068
c1-oh 422.21 1.326   # SOURCE3 1
c1-os 435.38 1.318   # SOURCE3_SOURCE5 8 0.0079
c1-p2 215.98 1.770   # SOUECE3 1
c1-p3 203.86 1.790   # SOUECE3 1
c1-p4 203.86 1.790   # SOUECE3 1
c1-p5 226.96 1.753   # SOURCE3 2
c1-s2 380.51 1.595   # SOURCE3 1
c1-s 370.61 1.603   # SOURCE1_SOURCE5 37 0.0043
c1-s4 239.03 1.746   # SOURCE3 2
c1-s6 256.65 1.722   # SOURCE3 2
c1-sh 291.39 1.680   # SOUECE3 1
c1-ss 282.80 1.690   # SOURCE1_SOURCE5 49 0.0113
c2-c2 481.83 1.334   # SOURCE1_SOURCE5 3727 0.0053
c2-c3 255.56 1.510   # SOURCE1_SOURCE5 10204 0.0042
c2-ca 398.37 1.385   # SOUECE3_SOURCE5 9 0.0149
c2-cc 437.98 1.359   # SOURCE1_SOURCE5 882 0.0181
c2-cd 437.98 1.359   # SOURCE1_SOURCE5 882 0.0181
c2-ce 460.51 1.346   # SOURCE3_SOURCE5 3239 0.0058
c2-cf 460.51 1.346   # SOURCE3_SOURCE5 3177 0.0057
c2-cl 192.70 1.731   # SOURCE1_SOURCE5 290 0.0098
c2-cu 500.05 1.325   # SOURCE2_SOURCE5 11 0.0010
c2-cx 278.37 1.485   # SOURCE4_SOURCE5 102 0.0061
c2-cy 255.91 1.509   # SOURCE4_SOURCE5 30 0.0063
c2-f 368.08 1.339   # SOURCE1_SOURCE5 35 0.0085
c2-h4 394.23 1.087   # SOURCE3_SOURCE5 517 0.0028
c2-h5 386.13 1.091   # SOURCE4_SOURCE5 116 0.0021
c2-ha 392.18 1.088   # SOURCE3_SOURCE5 5991 0.0019
c2-hc 393.86 1.087   # SOURCE3 789 0.0046
c2-hx 401.39 1.083   # SOURCE3 3 0.0008
c2-i 98.09 2.170   # SOURCE3_SOURCE5 7 0.0194
c2-n1 470.94 1.306   # SOURCE3 4 0.0161
c2-n2 518.67 1.282   # SOURCE1_SOURCE5 1004 0.0051
c2-n3 412.66 1.340   # SOUECE3 1
c2-n 330.19 1.399   # SOURCE3_SOURCE5 174 0.0100
c2-n4 221.45 1.512   # SOURCE3_SOURCE5 21 0.0133
c2-na 327.66 1.401   # SOURCE3_SOURCE5 65 0.0179
c2-nc 458.17 1.313   # SOURCE1 99 0.0095
c2-nd 458.17 1.313   # SOURCE1 99
c2-ne 498.75 1.292   # SOURCE3_SOURCE5 310 0.0099
c2-nf 498.75 1.292   # SOURCE3_SOURCE5 273 0.0098
c2-nh 345.39 1.387   # SOURCE3_SOURCE5 1559 0.0120
c2-no 276.95 1.448   # SOURCE4_SOURCE5 27 0.0139
c2-o 635.23 1.225   # SOURCE4_SOURCE5 35 0.0033
c2-oh 402.33 1.339   # SOURCE1_SOURCE5 85 0.0126
c2-os 371.26 1.360   # SOURCE1_SOURCE5 548 0.0107
c2-p2 292.48 1.669   # SOURCE3_SOURCE5 87 0.0126
c2-p3 179.93 1.834   # SOURCE3 5 0.0042
c2-p4 186.11 1.822   # SOUECE3 1
c2-p5 166.18 1.863   # SOURCE4_SOURCE5 15 0.0083
c2-pe 275.11 1.689   # SOURCE3_SOURCE5 60 0.0472
c2-pf 275.11 1.689   # SOURCE3_SOURCE5 8 0.0019
c2-s2 362.64 1.610   # SOURCE2 1
c2-s 247.65 1.734   # SOURCE3 4 0.0034
c2-s4 229.42 1.760   # SOUECE3 1
c2-s6 229.42 1.760   # SOUECE3 1
c2-sh 215.23 1.782   # SOURCE4_SOURCE5 13 0.0077
c2-ss 246.19 1.736   # SOURCE1 209 0.0155
c3-c3 232.52 1.538   # SOURCE1_SOURCE5 88072 0.0058
c3-ca 250.32 1.516   # SOURCE1_SOURCE5 10699 0.0054
