hw-ow-hw 43.276 104.520   # AMBER 1 TIP3P_water
hw-hw-ow 0.000 127.740   # AMBER 1 (found_in_crystallographic_water_with_3_bonds)
br-c1-br 58.432 180.000   # Guess 0
br-c1-c1 56.125 180.000   # SOURCE3 1
c1-c1-c1 65.529 180.000   # SOURCE3 1
c1-c1-c2 62.451 180.000   # SOURCE3 2
c1-c1-c3 57.975 178.510   # SOURCE4_SOURCE5 618 0.7369
c1-c1-ca 58.535 180.000   # SOURCE3 1
c1-c1-cl 63.947 180.000   # SOURCE3 1
c1-c1-f 80.686 180.000   # SOURCE3 1
c1-c1-ha 44.782 179.110   # SOURCE3_SOURCE5 219 0.5885
c1-c1-hc 44.772 180.000   # SOURCE3 1
c1-c1-i 52.986 180.000   # SOURCE3 1
c1-c1-n1 83.562 180.000   # SOURCE3 1
c1-c1-n2 82.100 180.000   # SOURCE3 1
c1-c1-n3 76.721 180.000   # SOURCE3 1
c1-c1-n4 74.244 179.560   # SOURCE3 3 0.3096
c1-c1-n 77.977 177.180   # SOURCE3 1
c1-c1-na 76.884 176.750   # SOURCE3 8 2.9328
c1-c1-nh 77.069 179.270   # SOURCE3 3 0.2357
c1-c1-no 74.597 180.000   # SOURCE3 3
c1-c1-o 82.936 180.000   # SOURCE3 1
c1-c1-oh 78.242 176.650   # SOURCE3 1
c1-c1-os 78.471 176.930   # SOURCE3_SOURCE5 5 1.1927
c1-c1-p2 68.155 180.000   # SOURCE3 1
c1-c1-p3 69.444 169.630   # SOURCE3 2
c1-c1-p4 67.414 180.000   # SOURCE3 1
c1-c1-p5 69.535 176.170   # SOURCE3 2
c1-c1-s4 55.785 167.470   # SOURCE3 2
c1-c1-s6 55.388 174.380   # SOURCE3 2
c1-c1-s 58.129 179.970   # SOURCE3 1
c1-c1-sh 55.773 180.000   # SOURCE3 1
c1-c1-ss 56.169 175.600   # SOURCE3_SOURCE5 19 1.3679
c2-c1-c2 60.185 179.370   # SOURCE3_SOURCE5 14 0.3391
